id,type,state,state_reason,title,body,author,created_at,assignees,updated_at,closed_at,url,labels,comments_list,comment_thread
2766173485,pull_request,open,,[FW][16.0] [FIX] privacy_lookup: Hide the action from users without access to the wizard,"**Steps to reproduce:**

1. Log in with a non-admin users
2. Open any Partner from
3. Click on Actions > Privacy Lookup

**Bug:**

```
You are not allowed to access 'Privacy Lookup Wizard' (privacy.lookup.wizard)
records.

This operation is allowed for the following groups:
	- Administration/Settings

Contact your administrator to request access if necessary.
```

**Expected behavior:**

The error message is correct. This feature should only be available to Administrator users. Therefore, the action should be hidden accordingly.

See: 

- https://github.com/odoo/odoo/blob/16.0/addons/privacy_lookup/security/ir.model.access.csv#L2

---

ping @tivisse 

---
I confirm I have signed the CLA and read the PR guidelines at www.odoo.com/submit-pr

Forward-Port-Of: odoo/odoo#150748",fw-bot,2025-01-02 14:58:29+00:00,[],2025-01-02 15:00:13+00:00,,https://github.com/odoo/odoo/pull/192206,"[('RD', 'research & development, internal work'), ('forwardport', 'This PR was created by @fw-bot')]","[{'comment_id': 2567903358, 'issue_id': 2766173485, 'author': 'robodoo', 'body': '[![Pull request status dashboard](https://mergebot.odoo.com/odoo/odoo/pull/192206.png)](https://mergebot.odoo.com/odoo/odoo/pull/192206)', 'created_at': datetime.datetime(2025, 1, 2, 14, 58, 31, tzinfo=datetime.timezone.utc)}, {'comment_id': 2567903379, 'issue_id': 2766173485, 'author': 'fw-bot', 'body': 'This PR targets saas-17.2 and is part of the forward-port chain. Further PRs will be created up to master.\n\nMore info at https://github.com/odoo/odoo/wiki/Mergebot#forward-port', 'created_at': datetime.datetime(2025, 1, 2, 14, 58, 31, tzinfo=datetime.timezone.utc)}]","robodoo on (2025-01-02 14:58:31 UTC): [![Pull request status dashboard](https://mergebot.odoo.com/odoo/odoo/pull/192206.png)](https://mergebot.odoo.com/odoo/odoo/pull/192206)

fw-bot (Issue Creator) on (2025-01-02 14:58:31 UTC): This PR targets saas-17.2 and is part of the forward-port chain. Further PRs will be created up to master.

More info at https://github.com/odoo/odoo/wiki/Mergebot#forward-port

"
2766169994,pull_request,closed,,[FW][FIX] project_todo: set by default project to False in todo,"Before this commit, when the user sets a project as a default value for his tasks, that default value will also be applied inside To-Do app because a to-do is in fact a private task (that is, a task without any project set).

This commit adds a default value inside the context of the main action used in To-Do to make sure the default value for `project_id` field in To-Do is false and nothing else.

Steps to reproduce
==================

1. Install Project app
2. Go to Project app
3. Select/create a project
4. Select/create and edit a task inside
5. Enable the debug mode
6. Click on debug menu and select `Set Default Values`
7. Apply `project = <your project selected/created>` and save
8. Go to To-Do app
9. Create a to-do

Expected Behavior
-----------------

A to-do should be created without any issue in the kanban view.

Current Behavior
----------------

A form view will be displayed inside a modal to create the to-do but the form view is in fact the one used in Project app and the project set is the one set as default value instead of having no project since the user is creating a to-do and not a task inside that project.

Forward-Port-Of: odoo/odoo#191583",fw-bot,2025-01-02 14:56:16+00:00,[],2025-01-16 19:28:45+00:00,2025-01-02 19:12:13+00:00,https://github.com/odoo/odoo/pull/192205,"[('RD', 'research & development, internal work'), ('forwardport', 'This PR was created by @fw-bot'), ('conflict', 'There was an error while creating this forward-port PR')]","[{'comment_id': 2567899819, 'issue_id': 2766169994, 'author': 'robodoo', 'body': '[![Pull request status dashboard](https://mergebot.odoo.com/odoo/odoo/pull/192205.png)](https://mergebot.odoo.com/odoo/odoo/pull/192205)', 'created_at': datetime.datetime(2025, 1, 2, 14, 56, 17, tzinfo=datetime.timezone.utc)}, {'comment_id': 2567899871, 'issue_id': 2766169994, 'author': 'fw-bot', 'body': '@xavierbol cherrypicking of pull request odoo/odoo#191583 failed.\n\nstdout:\n```\nAuto-merging addons/project_todo/views/project_task_views.xml\nCONFLICT (content): Merge conflict in addons/project_todo/views/project_task_views.xml\n\n```\n\nEither perform the forward-port manually (and push to this branch, proceeding as usual) or close this PR (maybe?).\n\nIn the former case, you may want to edit this PR message as well.\n\n:warning: after resolving this conflict, you will need to merge it via @robodoo.\n\nMore info at https://github.com/odoo/odoo/wiki/Mergebot#forward-port', 'created_at': datetime.datetime(2025, 1, 2, 14, 56, 19, tzinfo=datetime.timezone.utc)}]","robodoo on (2025-01-02 14:56:17 UTC): [![Pull request status dashboard](https://mergebot.odoo.com/odoo/odoo/pull/192205.png)](https://mergebot.odoo.com/odoo/odoo/pull/192205)

fw-bot (Issue Creator) on (2025-01-02 14:56:19 UTC): @xavierbol cherrypicking of pull request odoo/odoo#191583 failed.

stdout:
```
Auto-merging addons/project_todo/views/project_task_views.xml
CONFLICT (content): Merge conflict in addons/project_todo/views/project_task_views.xml

```

Either perform the forward-port manually (and push to this branch, proceeding as usual) or close this PR (maybe?).

In the former case, you may want to edit this PR message as well.

:warning: after resolving this conflict, you will need to merge it via @robodoo.

More info at https://github.com/odoo/odoo/wiki/Mergebot#forward-port

"
2766158992,pull_request,closed,,[FW][FIX] l10n_fr: various typos in codes of new accounts,"Some accounts got the wrong code, while the id rightly changed




---
I confirm I have signed the CLA and read the PR guidelines at www.odoo.com/submit-pr

Forward-Port-Of: odoo/odoo#191844
Forward-Port-Of: odoo/odoo#191826",fw-bot,2025-01-02 14:50:11+00:00,[],2025-01-16 18:41:21+00:00,2025-01-02 18:16:53+00:00,https://github.com/odoo/odoo/pull/192204,"[('RD', 'research & development, internal work'), ('forwardport', 'This PR was created by @fw-bot')]","[{'comment_id': 2567890035, 'issue_id': 2766158992, 'author': 'robodoo', 'body': '[![Pull request status dashboard](https://mergebot.odoo.com/odoo/odoo/pull/192204.png)](https://mergebot.odoo.com/odoo/odoo/pull/192204)', 'created_at': datetime.datetime(2025, 1, 2, 14, 50, 12, tzinfo=datetime.timezone.utc)}, {'comment_id': 2567890045, 'issue_id': 2766158992, 'author': 'fw-bot', 'body': 'This PR targets saas-18.1 and is part of the forward-port chain. Further PRs will be created up to master.\n\nMore info at https://github.com/odoo/odoo/wiki/Mergebot#forward-port', 'created_at': datetime.datetime(2025, 1, 2, 14, 50, 12, tzinfo=datetime.timezone.utc)}]","robodoo on (2025-01-02 14:50:12 UTC): [![Pull request status dashboard](https://mergebot.odoo.com/odoo/odoo/pull/192204.png)](https://mergebot.odoo.com/odoo/odoo/pull/192204)

fw-bot (Issue Creator) on (2025-01-02 14:50:12 UTC): This PR targets saas-18.1 and is part of the forward-port chain. Further PRs will be created up to master.

More info at https://github.com/odoo/odoo/wiki/Mergebot#forward-port

"
2766120736,pull_request,closed,,[FIX] analytic: force analytic distribution title display nowrap,"**Steps to reproduce:**
- Configure `Analytic Accounting` via `Accounting` module's settings;
- Go to `Analytic Plans` through `Accounting / Configuration / Analytic Accounting`:
    - Select any record and change its name for a really long one;

![Capture d’écran 2025-01-02 à 15 21 40](https://github.com/user-attachments/assets/365a7089-9bb4-4215-8b7d-59ac85abc952)

- Go to `Expenses` app:
    - Select any expense in the list;
    - Open the `Analytic Distribution` widget.

___
**Issue:**
Long `Analytic Plans` names are wrapped and may lead to unreadable texts.

![Capture d’écran 2025-01-02 à 15 22 28](https://github.com/user-attachments/assets/b5ddbd88-1209-4640-a0ce-bf9396871038)

*(from the ticket - Odoo 17)*

![imagem](https://github.com/user-attachments/assets/2f3f0543-b08b-4f16-a4a0-4547369eb478)

___
**Expected:**
A smooth UI should display `Analytic Plans` as when accessed through an invoice line from `Accounting` app.

![Capture d’écran 2025-01-02 à 15 23 16](https://github.com/user-attachments/assets/ef0aa2fd-e8c5-47ba-8c39-ce4538b85380)

___
**Cause:**
The `Analytic Distribution` widget style of the invoice view inherits from the list renderer, forcing a `nowrap` style while the expense view of the same widget does not.

___
**Fix:**
Force a `nowrap` style for that specific widget.

![Capture d’écran 2025-01-02 à 15 22 55](https://github.com/user-attachments/assets/2af26b22-63e2-43fc-b636-f739a0aa094d)

___
opw-4357324

---
I confirm I have signed the CLA and read the PR guidelines at www.odoo.com/submit-pr
",barracudapps,2025-01-02 14:25:05+00:00,[],2025-01-31 09:22:43+00:00,2025-01-17 08:55:57+00:00,https://github.com/odoo/odoo/pull/192203,"[('OE', 'the report is linked to a support ticket (opw-...)')]","[{'comment_id': 2567854749, 'issue_id': 2766120736, 'author': 'robodoo', 'body': '[![Pull request status dashboard](https://mergebot.odoo.com/odoo/odoo/pull/192203.png)](https://mergebot.odoo.com/odoo/odoo/pull/192203)', 'created_at': datetime.datetime(2025, 1, 2, 14, 25, 8, tzinfo=datetime.timezone.utc)}, {'comment_id': 2597634151, 'issue_id': 2766120736, 'author': 'robodoo', 'body': '@barracudapps @jbw-odoo staging failed: ci/runbot on e763af7f0e5639957053e15b1e97932cb5083f29 (view more at https://runbot.odoo.com/runbot/build/73505960)', 'created_at': datetime.datetime(2025, 1, 17, 7, 53, 37, tzinfo=datetime.timezone.utc)}, {'comment_id': 2597639440, 'issue_id': 2766120736, 'author': 'jbw-odoo', 'body': 'robodoo retry', 'created_at': datetime.datetime(2025, 1, 17, 7, 57, 21, tzinfo=datetime.timezone.utc)}, {'comment_id': 2601016666, 'issue_id': 2766120736, 'author': 'barracudapps', 'body': 'robodoo r+', 'created_at': datetime.datetime(2025, 1, 19, 20, 49, 22, tzinfo=datetime.timezone.utc)}, {'comment_id': 2601016682, 'issue_id': 2766120736, 'author': 'robodoo', 'body': ""@barracudapps you can't review+."", 'created_at': datetime.datetime(2025, 1, 19, 20, 49, 24, tzinfo=datetime.timezone.utc)}]","robodoo on (2025-01-02 14:25:08 UTC): [![Pull request status dashboard](https://mergebot.odoo.com/odoo/odoo/pull/192203.png)](https://mergebot.odoo.com/odoo/odoo/pull/192203)

robodoo on (2025-01-17 07:53:37 UTC): @barracudapps @jbw-odoo staging failed: ci/runbot on e763af7f0e5639957053e15b1e97932cb5083f29 (view more at https://runbot.odoo.com/runbot/build/73505960)

jbw-odoo on (2025-01-17 07:57:21 UTC): robodoo retry

barracudapps (Issue Creator) on (2025-01-19 20:49:22 UTC): robodoo r+

robodoo on (2025-01-19 20:49:24 UTC): @barracudapps you can't review+.

"
2766115842,pull_request,open,,"[IMP] mail, *: replace `/slides/mail/update_comment` route","*: portal_rating, rating, website_slides

Rating portal composer in the `website_slides` module uses `/slides/mail/update_comment` route to update the messages. This PR replaces this route with the message update route in mail (`/mail/message/update_content`). 
It's a preparation PR to replace the rating popup composer widget in website_slides with using the composer component in the mail module.

Part of task-3599659",maki-odoo,2025-01-02 14:22:00+00:00,[],2025-02-06 13:16:13+00:00,,https://github.com/odoo/odoo/pull/192202,"[('RD', 'research & development, internal work')]","[{'comment_id': 2567850240, 'issue_id': 2766115842, 'author': 'robodoo', 'body': '[![Pull request status dashboard](https://mergebot.odoo.com/odoo/odoo/pull/192202.png)](https://mergebot.odoo.com/odoo/odoo/pull/192202)', 'created_at': datetime.datetime(2025, 1, 2, 14, 22, 4, tzinfo=datetime.timezone.utc)}, {'comment_id': 2575792823, 'issue_id': 2766115842, 'author': 'seb-odoo', 'body': 'We have conflicting files here', 'created_at': datetime.datetime(2025, 1, 7, 16, 56, 5, tzinfo=datetime.timezone.utc)}, {'comment_id': 2615810339, 'issue_id': 2766115842, 'author': 'maki-odoo', 'body': '> Some minor comments\r\n\r\nDone', 'created_at': datetime.datetime(2025, 1, 27, 13, 47, 50, tzinfo=datetime.timezone.utc)}]","robodoo on (2025-01-02 14:22:04 UTC): [![Pull request status dashboard](https://mergebot.odoo.com/odoo/odoo/pull/192202.png)](https://mergebot.odoo.com/odoo/odoo/pull/192202)

seb-odoo on (2025-01-07 16:56:05 UTC): We have conflicting files here

maki-odoo (Issue Creator) on (2025-01-27 13:47:50 UTC): Done

"
2766115820,pull_request,closed,,[FW][FIX] hr_timesheet: adjust colspan when timesheets are groupby,"Steps to reproduce:
- Install hr_timesheet (with demo data)
- Navigate to portal > timesheet
- Group by project

Issue:
When only the hr_timesheet module is installed and timesheets are grouped in the
portal view, the column alignment is broken due to an incorrect colspan.

Cause:
When groupby is applied, the colspan is manually set to 4, causing misalignment
between the header and row columns.

Fix:
This commit sets the last column's colspan to 2 when grouping is applied to fix the
alignment issue.

task-4294780



---
I confirm I have signed the CLA and read the PR guidelines at www.odoo.com/submit-pr

Forward-Port-Of: odoo/odoo#186532",fw-bot,2025-01-02 14:22:00+00:00,[],2025-01-20 11:13:11+00:00,2025-01-06 10:45:01+00:00,https://github.com/odoo/odoo/pull/192201,"[('RD', 'research & development, internal work'), ('forwardport', 'This PR was created by @fw-bot'), ('conflict', 'There was an error while creating this forward-port PR')]","[{'comment_id': 2567850166, 'issue_id': 2766115820, 'author': 'robodoo', 'body': '[![Pull request status dashboard](https://mergebot.odoo.com/odoo/odoo/pull/192201.png)](https://mergebot.odoo.com/odoo/odoo/pull/192201)', 'created_at': datetime.datetime(2025, 1, 2, 14, 22, 1, tzinfo=datetime.timezone.utc)}, {'comment_id': 2567850228, 'issue_id': 2766115820, 'author': 'fw-bot', 'body': '@rajh-odoo @xavierbol cherrypicking of pull request odoo/odoo#186532 failed.\n\nstdout:\n```\nAuto-merging addons/hr_timesheet/views/hr_timesheet_portal_templates.xml\nCONFLICT (content): Merge conflict in addons/hr_timesheet/views/hr_timesheet_portal_templates.xml\n\n```\n\nEither perform the forward-port manually (and push to this branch, proceeding as usual) or close this PR (maybe?).\n\nIn the former case, you may want to edit this PR message as well.\n\n:warning: after resolving this conflict, you will need to merge it via @robodoo.\n\nMore info at https://github.com/odoo/odoo/wiki/Mergebot#forward-port', 'created_at': datetime.datetime(2025, 1, 2, 14, 22, 3, tzinfo=datetime.timezone.utc)}, {'comment_id': 2572194311, 'issue_id': 2766115820, 'author': 'fw-bot', 'body': '@rajh-odoo @xavierbol this forward port of odoo/odoo#186532 is awaiting action (not merged or closed).', 'created_at': datetime.datetime(2025, 1, 6, 3, 7, 38, tzinfo=datetime.timezone.utc)}]","robodoo on (2025-01-02 14:22:01 UTC): [![Pull request status dashboard](https://mergebot.odoo.com/odoo/odoo/pull/192201.png)](https://mergebot.odoo.com/odoo/odoo/pull/192201)

fw-bot (Issue Creator) on (2025-01-02 14:22:03 UTC): @rajh-odoo @xavierbol cherrypicking of pull request odoo/odoo#186532 failed.

stdout:
```
Auto-merging addons/hr_timesheet/views/hr_timesheet_portal_templates.xml
CONFLICT (content): Merge conflict in addons/hr_timesheet/views/hr_timesheet_portal_templates.xml

```

Either perform the forward-port manually (and push to this branch, proceeding as usual) or close this PR (maybe?).

In the former case, you may want to edit this PR message as well.

:warning: after resolving this conflict, you will need to merge it via @robodoo.

More info at https://github.com/odoo/odoo/wiki/Mergebot#forward-port

fw-bot (Issue Creator) on (2025-01-06 03:07:38 UTC): @rajh-odoo @xavierbol this forward port of odoo/odoo#186532 is awaiting action (not merged or closed).

"
2766108445,pull_request,open,,"[IMP] module, scaffold, auth_totp: reduce depependecies","Make some packages not required to run odoo

Even is some packages are in the requirements and debian control, they are not strictly necessary to run odoo core.

This commit aims to make some of them not needed in order to allow lighter installations when only the core applications are needed.",Xavier-Do,2025-01-02 14:17:20+00:00,[],2025-01-27 12:13:53+00:00,,https://github.com/odoo/odoo/pull/192200,"[('RD', 'research & development, internal work')]","[{'comment_id': 2567843023, 'issue_id': 2766108445, 'author': 'robodoo', 'body': '[![Pull request status dashboard](https://mergebot.odoo.com/odoo/odoo/pull/192200.png)](https://mergebot.odoo.com/odoo/odoo/pull/192200)', 'created_at': datetime.datetime(2025, 1, 2, 14, 17, 22, tzinfo=datetime.timezone.utc)}, {'comment_id': 2567851505, 'issue_id': 2766108445, 'author': 'Xavier-Do', 'body': 'We could target/backport it in 18.0 maybe', 'created_at': datetime.datetime(2025, 1, 2, 14, 22, 54, tzinfo=datetime.timezone.utc)}, {'comment_id': 2586588847, 'issue_id': 2766108445, 'author': 'flvr-odoo', 'body': 'the auth_totp module is there only for the ""authentificator"" app. Therefore, it\'s completely pointless without its QR-code. Making it installable but then not working with a warning seems wierd', 'created_at': datetime.datetime(2025, 1, 13, 9, 24, 47, tzinfo=datetime.timezone.utc)}, {'comment_id': 2586692550, 'issue_id': 2766108445, 'author': 'flvr-odoo', 'body': '@robodoo override=ci/security', 'created_at': datetime.datetime(2025, 1, 13, 10, 12, 6, tzinfo=datetime.timezone.utc)}, {'comment_id': 2615598714, 'issue_id': 2766108445, 'author': 'Xavier-Do', 'body': '> the auth_totp module is there only for the ""authentificator"" app. Therefore, it\'s completely pointless without its QR-code. Making it installable but then not working with a warning seems wierd\r\n\r\nI get your point but the issue is that `auth_totp` is auto-install on base. This is maybe the main problem. You may have the app installed without even using it.\r\n\r\nWithout the qrcode I think that a link is displayed or something like that, not sure, I tested it but a long time ago.', 'created_at': datetime.datetime(2025, 1, 27, 12, 13, 52, tzinfo=datetime.timezone.utc)}]","robodoo on (2025-01-02 14:17:22 UTC): [![Pull request status dashboard](https://mergebot.odoo.com/odoo/odoo/pull/192200.png)](https://mergebot.odoo.com/odoo/odoo/pull/192200)

Xavier-Do (Issue Creator) on (2025-01-02 14:22:54 UTC): We could target/backport it in 18.0 maybe

flvr-odoo on (2025-01-13 09:24:47 UTC): the auth_totp module is there only for the ""authentificator"" app. Therefore, it's completely pointless without its QR-code. Making it installable but then not working with a warning seems wierd

flvr-odoo on (2025-01-13 10:12:06 UTC): @robodoo override=ci/security

Xavier-Do (Issue Creator) on (2025-01-27 12:13:52 UTC): I get your point but the issue is that `auth_totp` is auto-install on base. This is maybe the main problem. You may have the app installed without even using it.

Without the qrcode I think that a link is displayed or something like that, not sure, I tested it but a long time ago.

"
2766100209,pull_request,open,,[WIP][IMP] auto-setup tool for odoo,"Description of the issue/feature this PR addresses:

Current behavior before PR:

Desired behavior after PR is merged:




---
I confirm I have signed the CLA and read the PR guidelines at www.odoo.com/submit-pr
",Xavier-Do,2025-01-02 14:11:42+00:00,[],2025-01-06 09:27:42+00:00,,https://github.com/odoo/odoo/pull/192199,"[('RD', 'research & development, internal work')]","[{'comment_id': 2567835213, 'issue_id': 2766100209, 'author': 'robodoo', 'body': '[![Pull request status dashboard](https://mergebot.odoo.com/odoo/odoo/pull/192199.png)](https://mergebot.odoo.com/odoo/odoo/pull/192199)', 'created_at': datetime.datetime(2025, 1, 2, 14, 11, 45, tzinfo=datetime.timezone.utc)}]","robodoo on (2025-01-02 14:11:45 UTC): [![Pull request status dashboard](https://mergebot.odoo.com/odoo/odoo/pull/192199.png)](https://mergebot.odoo.com/odoo/odoo/pull/192199)

"
2766090282,pull_request,closed,,[FIX] hr_expense: force analytic distribution title display nowrap,"**Steps to reproduce:**
- Configure `Analytic Accounting` via `Accounting` module's settings;
- Go to `Analytic Plans` through `Accounting / Configuration / Analytic Accounting`:
    - Select any record and change its name for a really long one;

![Capture d’écran 2025-01-02 à 15 01 13](https://github.com/user-attachments/assets/c77a4588-37b1-4217-a65f-3e3f8ea5f857)

- Go to `Expenses` app:
    - Select any expense in the list;
    - Open the `Analytic Distribution` widget.

___
**Issue:**
Long `Analytic Plans` names are wrapped and may lead to unreadable texts.

![Capture d’écran 2025-01-02 à 15 01 56](https://github.com/user-attachments/assets/3e007cc0-822e-4a40-a23f-deced631668e)

___
**Expected:**
A smooth UI should display `Analytic Plans` as when accessed through an invoice line from `Accounting` app.

![Capture d’écran 2025-01-02 à 15 01 29](https://github.com/user-attachments/assets/e4b79c06-0fe0-4e87-bfcf-077b7b0c8354)

___
**Cause:**
The `Analytic Distribution` widget style of the invoice view inherits from the list renderer, forcing a `nowrap` style while the expense view of the same widget does not.

___
**Fix:**
Force a `nowrap` style for that specific widget.
![Capture d’écran 2025-01-02 à 15 02 14](https://github.com/user-attachments/assets/8d281ae8-5701-4158-83a0-ce3c73928eeb)

___
opw-4357324

---
I confirm I have signed the CLA and read the PR guidelines at www.odoo.com/submit-pr
",barracudapps,2025-01-02 14:05:00+00:00,[],2025-01-02 14:29:22+00:00,2025-01-02 14:14:33+00:00,https://github.com/odoo/odoo/pull/192198,[],"[{'comment_id': 2567825870, 'issue_id': 2766090282, 'author': 'robodoo', 'body': '[![Pull request status dashboard](https://mergebot.odoo.com/odoo/odoo/pull/192198.png)](https://mergebot.odoo.com/odoo/odoo/pull/192198)', 'created_at': datetime.datetime(2025, 1, 2, 14, 5, 3, tzinfo=datetime.timezone.utc)}]","robodoo on (2025-01-02 14:05:03 UTC): [![Pull request status dashboard](https://mergebot.odoo.com/odoo/odoo/pull/192198.png)](https://mergebot.odoo.com/odoo/odoo/pull/192198)

"
2766085644,pull_request,closed,,[FW][FIX] web: ARIA attributes of field widgets not ported correctly to OWL,"When field widgets were ported to OWL in 48ef812a, a few ARIA attributes
were not adapted correctly. For instance, in the statusbar widget, the
title was ported as an `aria-label` attribute (""Current state"" and ""Not
active state""), which overrides the actual status name.

This commit fixes the above issue by removing the incorrect `aria-label`
attributes and fixing logic for other ones like `aria-checked`.

---
I confirm I have signed the CLA and read the PR guidelines at www.odoo.com/submit-pr

Forward-Port-Of: odoo/odoo#191494
Forward-Port-Of: odoo/odoo#183447",fw-bot,2025-01-02 14:01:46+00:00,[],2025-01-16 18:41:21+00:00,2025-01-02 18:16:58+00:00,https://github.com/odoo/odoo/pull/192197,"[('RD', 'research & development, internal work'), ('forwardport', 'This PR was created by @fw-bot'), ('conflict', 'There was an error while creating this forward-port PR')]","[{'comment_id': 2567821358, 'issue_id': 2766085644, 'author': 'robodoo', 'body': '[![Pull request status dashboard](https://mergebot.odoo.com/odoo/odoo/pull/192197.png)](https://mergebot.odoo.com/odoo/odoo/pull/192197)', 'created_at': datetime.datetime(2025, 1, 2, 14, 1, 50, tzinfo=datetime.timezone.utc)}, {'comment_id': 2567821427, 'issue_id': 2766085644, 'author': 'fw-bot', 'body': '@luisg123v @aab-odoo cherrypicking of pull request odoo/odoo#183447 failed.\n\nstdout:\n```\nAuto-merging addons/web/static/src/views/fields/priority/priority_field.xml\nAuto-merging addons/web/static/src/views/fields/statusbar/statusbar_field.js\nAuto-merging addons/web/static/src/views/fields/statusbar/statusbar_field.xml\nCONFLICT (content): Merge conflict in addons/web/static/src/views/fields/statusbar/statusbar_field.xml\nAuto-merging addons/web/static/tests/views/fields/statusbar_field.test.js\nCONFLICT (content): Merge conflict in addons/web/static/tests/views/fields/statusbar_field.test.js\n\n```\n\nEither perform the forward-port manually (and push to this branch, proceeding as usual) or close this PR (maybe?).\n\nIn the former case, you may want to edit this PR message as well.\n\n:warning: after resolving this conflict, you will need to merge it via @robodoo.\n\nMore info at https://github.com/odoo/odoo/wiki/Mergebot#forward-port', 'created_at': datetime.datetime(2025, 1, 2, 14, 1, 52, tzinfo=datetime.timezone.utc)}]","robodoo on (2025-01-02 14:01:50 UTC): [![Pull request status dashboard](https://mergebot.odoo.com/odoo/odoo/pull/192197.png)](https://mergebot.odoo.com/odoo/odoo/pull/192197)

fw-bot (Issue Creator) on (2025-01-02 14:01:52 UTC): @luisg123v @aab-odoo cherrypicking of pull request odoo/odoo#183447 failed.

stdout:
```
Auto-merging addons/web/static/src/views/fields/priority/priority_field.xml
Auto-merging addons/web/static/src/views/fields/statusbar/statusbar_field.js
Auto-merging addons/web/static/src/views/fields/statusbar/statusbar_field.xml
CONFLICT (content): Merge conflict in addons/web/static/src/views/fields/statusbar/statusbar_field.xml
Auto-merging addons/web/static/tests/views/fields/statusbar_field.test.js
CONFLICT (content): Merge conflict in addons/web/static/tests/views/fields/statusbar_field.test.js

```

Either perform the forward-port manually (and push to this branch, proceeding as usual) or close this PR (maybe?).

In the former case, you may want to edit this PR message as well.

:warning: after resolving this conflict, you will need to merge it via @robodoo.

More info at https://github.com/odoo/odoo/wiki/Mergebot#forward-port

"
