id,type,state,state_reason,title,body,author,created_at,assignees,updated_at,closed_at,url,labels,comments_list,comment_thread
2839228516,pull_request,open,,Bump python from 3.11.10-slim to 3.13.2-slim,"Bumps python from 3.11.10-slim to 3.13.2-slim.

<details>
<summary>Most Recent Ignore Conditions Applied to This Pull Request</summary>

| Dependency Name | Ignore Conditions |
| --- | --- |
| python | [>= 3.12.a, < 3.13] |
</details>


[![Dependabot compatibility score](https://dependabot-badges.githubapp.com/badges/compatibility_score?dependency-name=python&package-manager=docker&previous-version=3.11.10-slim&new-version=3.13.2-slim)](https://docs.github.com/en/github/managing-security-vulnerabilities/about-dependabot-security-updates#about-compatibility-scores)

Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.

[//]: # (dependabot-automerge-start)
[//]: # (dependabot-automerge-end)

---

<details>
<summary>Dependabot commands and options</summary>
<br />

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot squash and merge` will squash and merge this PR after your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge and block automerging
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot close` will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
- `@dependabot show <dependency name> ignore conditions` will show all of the ignore conditions of the specified dependency
- `@dependabot ignore this major version` will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this minor version` will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)


</details>",dependabot[bot],2025-02-07 22:43:49+00:00,[],2025-02-07 22:43:50+00:00,,https://github.com/OWASP/Nettacker/pull/1003,"[('Docker', ''), ('dependencies', 'Pull requests that update a dependency file')]",[],
2835452602,pull_request,open,,Add some ChineseTranslation,"Checklist

 I have followed the [Contributor Guidelines](https://github.com/OWASP/Nettacker/wiki/Developers#contribution-guidelines).
 The code has been thoroughly tested in my local development environment with flake8 and pylint.
 The code is Python 3 compatible.
 The code follows the PEP8 styling guidelines with 4 spaces indentation.
 This Pull Request relates to only one issue or only one feature
 I have referenced the corresponding issue number in my commit message
 I have added the relevant documentation.
 My branch is up-to-date with the Upstream master branch.
Added Chinese translations for scan comparison (issue: https://github.com/OWASP/Nettacker/issues/905 )

Changes proposed in this pull request:

Added Chinese translations for the zh-cn.yaml localization file.
Resolves issue [#905](https://github.com/your-repo/issue-tracker/issues/905).


[x ] Localization improvement

[x ] I've followed the [contributing guidelines]

[x ] I've run make pre-commit, it didn't generate any changes

[x ] I've run make test, all tests passed locally",Soumyaditya25,2025-02-06 12:52:34+00:00,[],2025-02-06 15:39:44+00:00,,https://github.com/OWASP/Nettacker/pull/1002,[],"[{'comment_id': 2640175218, 'issue_id': 2835452602, 'author': 'Soumyaditya25', 'body': 'Hi @securestep9 ,I’ve been working on this translation and have thoroughly reviewed it multiple times to ensure accuracy. Could you please review the PR when you get a chance? Let me know if any changes are needed.\r\nThanks for your time!', 'created_at': datetime.datetime(2025, 2, 6, 15, 39, 42, tzinfo=datetime.timezone.utc)}]","Soumyaditya25 (Issue Creator) on (2025-02-06 15:39:42 UTC): Hi @securestep9 ,I’ve been working on this translation and have thoroughly reviewed it multiple times to ensure accuracy. Could you please review the PR when you get a chance? Let me know if any changes are needed.
Thanks for your time!

"
2832471954,pull_request,closed,,fixed mysql connections,"<!--
  Thanks for contributing to OWASP Nettacker!
-->

## Proposed change

Addressing issues mentioned #999 and #555. The database configurations were addressing only SQLite, I have changed that to include MySQL as well. It works well locally. 
<!--
  Describe the big picture of your changes.
  Don't forget to link your PR to an existing issue if any.
-->

## Type of change

<!--
  Type of change you want to introduce. Please, check one (1) box only!
  If your PR requires multiple boxes to be checked, most likely it needs to
  be split into multiple PRs.
-->

- [ ] New core framework functionality
- [x] Bugfix (non-breaking change which fixes an issue)
- [ ] Code refactoring without any functionality changes
- [ ] New or existing module/payload change
- [ ] Localization improvement
- [ ] Dependency upgrade
- [ ] Documentation improvement

## Checklist

<!--
  Put an `x` in the boxes that apply. You can change them after PR is created.
-->

- [x] I've followed the [contributing guidelines][contributing-guidelines]
- [ ] I've run `make pre-commit`, it didn't generate any changes
- [ ] I've run `make test`, all tests passed locally

<!--
  Thanks again for your contribution!
-->

[contributing-guidelines]: https://nettacker.readthedocs.io/en/latest/Developers/
",pUrGe12,2025-02-05 10:03:05+00:00,[],2025-02-05 10:13:22+00:00,2025-02-05 10:13:21+00:00,https://github.com/OWASP/Nettacker/pull/1001,[],"[{'comment_id': 2636297685, 'issue_id': 2832471954, 'author': 'pUrGe12', 'body': ""I didn't read your earlier comment @securestep9 on the previous PR. I will close this."", 'created_at': datetime.datetime(2025, 2, 5, 10, 13, 18, tzinfo=datetime.timezone.utc)}]","pUrGe12 (Issue Creator) on (2025-02-05 10:13:18 UTC): I didn't read your earlier comment @securestep9 on the previous PR. I will close this.

"
2831442640,pull_request,open,,Bump paramiko from 3.4.1 to 3.5.1,"Bumps [paramiko](https://github.com/paramiko/paramiko) from 3.4.1 to 3.5.1.
<details>
<summary>Commits</summary>
<ul>
<li><a href=""https://github.com/paramiko/paramiko/commit/ed8b09751ff20340332d4b1bb2b10e32aedc57ff""><code>ed8b097</code></a> Cut 3.5.1</li>
<li><a href=""https://github.com/paramiko/paramiko/commit/1d9e49613b53268e07108ddf0f4326a2c925ffc2""><code>1d9e496</code></a> Changelog re <a href=""https://redirect.github.com/paramiko/paramiko/issues/2490"">#2490</a>, closes <a href=""https://redirect.github.com/paramiko/paramiko/issues/2490"">#2490</a></li>
<li><a href=""https://github.com/paramiko/paramiko/commit/3acc7906d25189b11219a7472e1532fa3ad9a1d9""><code>3acc790</code></a> When decrypting a private key, unpad it before deserialization</li>
<li><a href=""https://github.com/paramiko/paramiko/commit/23f92003898b060df0e2b8b1d889455264e63a3e""><code>23f9200</code></a> Cut 3.5.0</li>
<li><a href=""https://github.com/paramiko/paramiko/commit/eb7dbbc262f1ff41567152ab8e8d03c6436774f9""><code>eb7dbbc</code></a> Changelog closes <a href=""https://redirect.github.com/paramiko/paramiko/issues/982"">#982</a>, re <a href=""https://redirect.github.com/paramiko/paramiko/issues/2444"">#2444</a>, re <a href=""https://redirect.github.com/paramiko/paramiko/issues/2157"">#2157</a></li>
<li><a href=""https://github.com/paramiko/paramiko/commit/977913f5004862528c9a5d53c281048f19d8d9b7""><code>977913f</code></a> Refactor the AES-GCM support a bunch</li>
<li><a href=""https://github.com/paramiko/paramiko/commit/f2ebac506d405ca7068e9cd301232c6e73821a1f""><code>f2ebac5</code></a> Remove debug logging from PR</li>
<li><a href=""https://github.com/paramiko/paramiko/commit/f5d4ff3ee69eba90b84da78c7caf50c28ba3aba5""><code>f5d4ff3</code></a> Comment edits</li>
<li><a href=""https://github.com/paramiko/paramiko/commit/e53c46bf7b4f8921a16b93d6533681e9f17616e5""><code>e53c46b</code></a> Version bump to 3.5 for feature update</li>
<li><a href=""https://github.com/paramiko/paramiko/commit/86ecbf4202760650f32b571c8c83193dbaa0d724""><code>86ecbf4</code></a> fix syntax formatting</li>
<li>Additional commits viewable in <a href=""https://github.com/paramiko/paramiko/compare/3.4.1...3.5.1"">compare view</a></li>
</ul>
</details>
<br />


[![Dependabot compatibility score](https://dependabot-badges.githubapp.com/badges/compatibility_score?dependency-name=paramiko&package-manager=pip&previous-version=3.4.1&new-version=3.5.1)](https://docs.github.com/en/github/managing-security-vulnerabilities/about-dependabot-security-updates#about-compatibility-scores)

Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.

[//]: # (dependabot-automerge-start)
[//]: # (dependabot-automerge-end)

---

<details>
<summary>Dependabot commands and options</summary>
<br />

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot squash and merge` will squash and merge this PR after your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge and block automerging
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot close` will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
- `@dependabot show <dependency name> ignore conditions` will show all of the ignore conditions of the specified dependency
- `@dependabot ignore this major version` will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this minor version` will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)


</details>",dependabot[bot],2025-02-04 22:41:53+00:00,[],2025-02-04 22:41:54+00:00,,https://github.com/OWASP/Nettacker/pull/1000,"[('dependencies', 'Pull requests that update a dependency file'), ('python', 'Pull requests that update Python code')]",[],
2828993266,pull_request,open,,Update Dockerfile to Multi-Stage,"## Proposed change

Hi,

Thanks for maintaining OWASP Nettacker. I represent a research group investigating [multi-stage builds](https://docs.docker.com/build/building/multi-stage/). We recently refactored your Dockerfile to a multi-stage Dockerfile and found that it brings the following benefits: 

✅ Reduced final image size (from 642MB to 137MB)  
✅ Minimized image vulnerabilities (verified via [Trivy](https://github.com/aquasecurity/trivy), from 10 to 1)  

We hope this small improvement to the Dockerfile will be useful to you :)

Thanks,


## Type of change

- [ ] New core framework functionality
- [ ] Bugfix (non-breaking change which fixes an issue)
- [x] Code refactoring without any functionality changes
- [ ] New or existing module/payload change
- [ ] Localization improvement
- [ ] Dependency upgrade
- [ ] Documentation improvement

## Checklist

- [x] I've followed the [contributing guidelines][contributing-guidelines]
- [ ] I've run `make pre-commit`, it didn't generate any changes
- [ ] I've run `make test`, all tests passed locally",multi-stager,2025-02-04 02:47:42+00:00,[],2025-02-04 02:47:44+00:00,,https://github.com/OWASP/Nettacker/pull/998,[],[],
2825803342,pull_request,closed,,Fixed README with installation instructions for Docker and fixed MySQL errors due to SQLite default,"<!--
  Thanks for contributing to OWASP Nettacker!
-->

## Proposed change

<!--
  Describe the big picture of your changes.
  Don't forget to link your PR to an existing issue if any.
-->

1. The issue with the current documentation is that it is not giving a complete explanation for how to install nettacker properly and run it. I have updated the README with the following changes:

- Code install docker-compose and docker (the user might face trouble with this if doing this for the first time, like I was) 
- Changed the container name from `nettacker-nettacker-1` to `nettacker` in the second command.
This was because when I tried running it locally on a new machine, I got the following error:
`Error response from daemon: No such container: nettacker-nettacker-1`
Hence, the change.

2. Fixed MySQL errors fixing #999 and #555 

1. Corrected MySQL server name using pymysql.
2. Updated docstring for DbConfig class for MySQL related parameters
3. Corrected `db.py` file to include pymysql, change arguments based on engine name and improved `remove_old_logs` function with pymysql required changes.

## Type of change

<!--
  Type of change you want to introduce. Please, check one (1) box only!
  If your PR requires multiple boxes to be checked, most likely it needs to
  be split into multiple PRs.
-->

- [ ] New core framework functionality
- [x] Bugfix (non-breaking change which fixes an issue)
- [ ] Code refactoring without any functionality changes
- [ ] New or existing module/payload change
- [ ] Localization improvement
- [ ] Dependency upgrade
- [ ] Documentation improvement

## Checklist

<!--
  Put an `x` in the boxes that apply. You can change them after PR is created.
-->

- [x] I've followed the [contributing guidelines][contributing-guidelines]
- [ ] I've run `make pre-commit`, it didn't generate any changes
- [ ] I've run `make test`, all tests passed locally

<!--
  Thanks again for your contribution!
-->

## Additional comments:

1. The user needs to install pymysql using `pip install pymysql`
2. The user needs to ensure their server can handle multiple requests, they can do that using `SET GLOBAL max_connections = 1000; ` 
[contributing-guidelines]: https://nettacker.readthedocs.io/en/latest/Developers/
",pUrGe12,2025-02-02 13:28:31+00:00,[],2025-02-05 09:57:51+00:00,2025-02-05 09:30:58+00:00,https://github.com/OWASP/Nettacker/pull/997,[],"[{'comment_id': 2636260686, 'issue_id': 2825803342, 'author': 'securestep9', 'body': 'Hi @pUrGe12 Re: README changes - these are coming with a bigger documentation updates we are working on including re-vamped Dockerfile. Re: mySQL issues - it appears a misconfiguration and we are working on improving the documentation to make it clearer as well', 'created_at': datetime.datetime(2025, 2, 5, 9, 57, 49, tzinfo=datetime.timezone.utc)}]","securestep9 on (2025-02-05 09:57:49 UTC): Hi @pUrGe12 Re: README changes - these are coming with a bigger documentation updates we are working on including re-vamped Dockerfile. Re: mySQL issues - it appears a misconfiguration and we are working on improving the documentation to make it clearer as well

"
2818374087,pull_request,closed,,Add some KoreanTranslation,"Checklist

 I have followed the [Contributor Guidelines](https://github.com/OWASP/Nettacker/wiki/Developers#contribution-guidelines).
 The code has been thoroughly tested in my local development environment with flake8 and pylint.
 The code is Python 3 compatible.
 The code follows the PEP8 styling guidelines with 4 spaces indentation.
 This Pull Request relates to only one issue or only one feature
 I have referenced the corresponding issue number in my commit message
 I have added the relevant documentation.
 My branch is up-to-date with the Upstream master branch.
Added Korean translations for scan comparison (issue: https://github.com/OWASP/Nettacker/issues/905 )

Changes proposed in this pull request:

Added Korean translations for the ko.yaml localization file.
Resolves issue [#905](https://github.com/your-repo/issue-tracker/issues/905).


[x ] Localization improvement

[x ] I've followed the [contributing guidelines]

[x ] I've run make pre-commit, it didn't generate any changes

[x ] I've run make test, all tests passed locally",Soumyaditya25,2025-01-29 14:24:24+00:00,[],2025-02-06 12:05:01+00:00,2025-02-03 15:55:53+00:00,https://github.com/OWASP/Nettacker/pull/996,[],"[{'comment_id': 2627874929, 'issue_id': 2818374087, 'author': 'Soumyaditya25', 'body': 'Hi @securestep9 , could you please review my PR when you have some time? Let me know if any changes are needed. Thanks!', 'created_at': datetime.datetime(2025, 1, 31, 17, 34, tzinfo=datetime.timezone.utc)}, {'comment_id': 2631374611, 'issue_id': 2818374087, 'author': 'securestep9', 'body': 'Thank you for your contribution @Soumyaditya25  !', 'created_at': datetime.datetime(2025, 2, 3, 15, 45, 13, tzinfo=datetime.timezone.utc)}]","Soumyaditya25 (Issue Creator) on (2025-01-31 17:34:00 UTC): Hi @securestep9 , could you please review my PR when you have some time? Let me know if any changes are needed. Thanks!

securestep9 on (2025-02-03 15:45:13 UTC): Thank you for your contribution @Soumyaditya25  !

"
2811098463,pull_request,open,,feat: integrated RateLimiter for request throttling,"<!--
  Thanks for contributing to OWASP Nettacker!
-->

## Proposed change

This PR aims to introduce a fully functional rate limiter to the project, which will control the rate at which requests can be made to avoid overloading resources or violating rate-limiting policies. Also including a cli flag to configure window size and max requests manually

Realted to #727 

## Type of change

- [x] New core framework functionality
- [ ] Bugfix (non-breaking change which fixes an issue)
- [ ] Code refactoring without any functionality changes
- [ ] New or existing module/payload change
- [ ] Localization improvement
- [ ] Dependency upgrade
- [ ] Documentation improvement

## Checklist

<!--
  Put an `x` in the boxes that apply. You can change them after PR is created.
-->

- [ ] I've followed the [contributing guidelines][contributing-guidelines]
- [x] I've run `make pre-commit`, it didn't generate any changes
- [ ] I've run `make test`, all tests passed locally

<!--
  Thanks again for your contribution!
-->

[contributing-guidelines]: https://nettacker.readthedocs.io/en/latest/Developers/
",Aswinr24,2025-01-25 17:44:11+00:00,[],2025-02-04 14:42:53+00:00,,https://github.com/OWASP/Nettacker/pull/995,[],"[{'comment_id': 2631402071, 'issue_id': 2811098463, 'author': 'securestep9', 'body': 'Nettacker is an asynchronous Python application using **aiohttp**,  so time.sleep() is not the correct way to implement rate limiting because it is a blocking call that will pause the entire event loop', 'created_at': datetime.datetime(2025, 2, 3, 15, 55, 38, tzinfo=datetime.timezone.utc)}, {'comment_id': 2634189318, 'issue_id': 2811098463, 'author': 'Aswinr24', 'body': 'Thanks for the feedback, @securestep9 I realized the issue soon after some time I made this, and updated it locally to avoid blocking the event loop to work with the async nature of nettacker requests. I haven’t pushed the changes yet—just making sure everything works fine before pushing finally', 'created_at': datetime.datetime(2025, 2, 4, 14, 42, 52, tzinfo=datetime.timezone.utc)}]","securestep9 on (2025-02-03 15:55:38 UTC): Nettacker is an asynchronous Python application using **aiohttp**,  so time.sleep() is not the correct way to implement rate limiting because it is a blocking call that will pause the entire event loop

Aswinr24 (Issue Creator) on (2025-02-04 14:42:52 UTC): Thanks for the feedback, @securestep9 I realized the issue soon after some time I made this, and updated it locally to avoid blocking the event loop to work with the async nature of nettacker requests. I haven’t pushed the changes yet—just making sure everything works fine before pushing finally

"
2808498905,pull_request,closed,,905: The Urdu translation has been completed,I have added the requested changes,osamaahmed17,2025-01-24 04:56:39+00:00,[],2025-02-06 13:48:21+00:00,2025-02-06 13:48:21+00:00,https://github.com/OWASP/Nettacker/pull/994,[],"[{'comment_id': 2639855472, 'issue_id': 2808498905, 'author': 'securestep9', 'body': 'Thank you for you contribution @osamaahmed17  !', 'created_at': datetime.datetime(2025, 2, 6, 13, 37, 47, tzinfo=datetime.timezone.utc)}]","securestep9 on (2025-02-06 13:37:47 UTC): Thank you for you contribution @osamaahmed17  !

"
2800610305,pull_request,closed,,Ci cd migrations to ubuntu 24,"<!--
  Thanks for contributing to OWASP Nettacker!
-->

## Proposed change

<!--
  Describe the big picture of your changes.
  Don't forget to link your PR to an existing issue if any.
-->

Your PR description goes here.
- close #990 
- migrate ubuntu 22  to 24
- migrate docker test images to latest stable release


## Type of change

<!--
  Type of change you want to introduce. Please, check one (1) box only!
  If your PR requires multiple boxes to be checked, most likely it needs to
  be split into multiple PRs.
-->

- [ ] New core framework functionality
- [ ] Bugfix (non-breaking change which fixes an issue)
- [ ] Code refactoring without any functionality changes
- [ ] New or existing module/payload change
- [ ] Localization improvement
- [x] Dependency upgrade
- [ ] Documentation improvement

## Checklist

<!--
  Put an `x` in the boxes that apply. You can change them after PR is created.
-->

- [x] I've followed the [contributing guidelines][contributing-guidelines]
- [x] I've run `make pre-commit`, it didn't generate any changes
- [x] I've run `make test`, all tests passed locally

<!--
  Thanks again for your contribution!
-->

[contributing-guidelines]: https://nettacker.readthedocs.io/en/latest/Developers/
",nitinawari,2025-01-21 03:23:19+00:00,[],2025-01-22 06:41:06+00:00,2025-01-22 06:41:06+00:00,https://github.com/OWASP/Nettacker/pull/993,[],[],
