id,type,state,state_reason,title,body,author,created_at,assignees,updated_at,closed_at,url,labels,comments_list,comment_thread
2601540412,pull_request,closed,,fix: party_balance based on company in payment entry (backport #43720),"In Payment Entry, Party Balance is not as per company.

Steps to replicate:
- Create two companies
- Create a supplier and make invoices for both companies.
- Now create a Payment Entry and check the party balance field.

![image](https://github.com/user-attachments/assets/1cbf0d1e-e03b-4c8b-b6ea-e0497905ee41)
 
backport version-15
backport version-14


Frappe Support Issue: https://support.frappe.io/app/hd-ticket/23720
<hr>This is an automatic backport of pull request #43720 done by [Mergify](https://mergify.com).",mergify[bot],2024-10-21 06:53:39+00:00,[],2024-11-07 00:11:19+00:00,2024-10-21 07:38:23+00:00,https://github.com/frappe/erpnext/pull/43745,"[('needs-tests', 'This PR needs automated unit-tests.'), ('released', None)]","[{'comment_id': 2430883043, 'issue_id': 2601540412, 'author': 'frappe-pr-bot', 'body': ':tada: This PR is included in version 14.74.7 :tada:\n\nThe release is available on [GitHub release](https://github.com/frappe/erpnext/releases/tag/v14.74.7)\n\nYour **[semantic-release](https://github.com/semantic-release/semantic-release)** bot :package::rocket:', 'created_at': datetime.datetime(2024, 10, 23, 4, 46, 28, tzinfo=datetime.timezone.utc)}]","frappe-pr-bot on (2024-10-23 04:46:28 UTC): :tada: This PR is included in version 14.74.7 :tada:

The release is available on [GitHub release](https://github.com/frappe/erpnext/releases/tag/v14.74.7)

Your **[semantic-release](https://github.com/semantic-release/semantic-release)** bot :package::rocket:

"
2601533493,pull_request,closed,,fix: get period estimate till service end date (backport #43727),"**Issue:**
The Deferred Revenue and Expense report, shows the upcoming expenses till the end of the fiscal year, irrespective of the service end date in the purchase invoice
**ref:** [22991](https://support.frappe.io/helpdesk/tickets/22991)

**Fix:** 
Calculated the future period estimate till the service end date from the purchase invoice

**Before:**
![Purchase Invoice](https://github.com/user-attachments/assets/f68351c2-9b62-4abd-9f7d-cb1103b6bb88)

![Report Issue](https://github.com/user-attachments/assets/f945779e-df76-435c-bb1a-85e2dee8ad24)

**After:**
![Report Fix](https://github.com/user-attachments/assets/80401286-5cf2-416b-96f9-85098126ebdf)

**Backport needed: v14 & v15**
<hr>This is an automatic backport of pull request #43727 done by [Mergify](https://mergify.com).",mergify[bot],2024-10-21 06:51:07+00:00,[],2024-11-05 00:11:12+00:00,2024-10-21 07:38:33+00:00,https://github.com/frappe/erpnext/pull/43744,"[('needs-tests', 'This PR needs automated unit-tests.')]",[],
2601531462,pull_request,closed,,fix: get period estimate till service end date (backport #43727),"**Issue:**
The Deferred Revenue and Expense report, shows the upcoming expenses till the end of the fiscal year, irrespective of the service end date in the purchase invoice
**ref:** [22991](https://support.frappe.io/helpdesk/tickets/22991)

**Fix:** 
Calculated the future period estimate till the service end date from the purchase invoice

**Before:**
![Purchase Invoice](https://github.com/user-attachments/assets/f68351c2-9b62-4abd-9f7d-cb1103b6bb88)

![Report Issue](https://github.com/user-attachments/assets/f945779e-df76-435c-bb1a-85e2dee8ad24)

**After:**
![Report Fix](https://github.com/user-attachments/assets/80401286-5cf2-416b-96f9-85098126ebdf)

**Backport needed: v14 & v15**
<hr>This is an automatic backport of pull request #43727 done by [Mergify](https://mergify.com).",mergify[bot],2024-10-21 06:50:29+00:00,[],2024-11-07 00:11:20+00:00,2024-10-21 07:38:45+00:00,https://github.com/frappe/erpnext/pull/43743,"[('needs-tests', 'This PR needs automated unit-tests.'), ('released', None)]","[{'comment_id': 2430882990, 'issue_id': 2601531462, 'author': 'frappe-pr-bot', 'body': ':tada: This PR is included in version 14.74.7 :tada:\n\nThe release is available on [GitHub release](https://github.com/frappe/erpnext/releases/tag/v14.74.7)\n\nYour **[semantic-release](https://github.com/semantic-release/semantic-release)** bot :package::rocket:', 'created_at': datetime.datetime(2024, 10, 23, 4, 46, 25, tzinfo=datetime.timezone.utc)}]","frappe-pr-bot on (2024-10-23 04:46:25 UTC): :tada: This PR is included in version 14.74.7 :tada:

The release is available on [GitHub release](https://github.com/frappe/erpnext/releases/tag/v14.74.7)

Your **[semantic-release](https://github.com/semantic-release/semantic-release)** bot :package::rocket:

"
2601515136,pull_request,closed,,"fix: ""show_remarks"" checkbox in Process statement of accounts (backport #43726)","![image](https://github.com/user-attachments/assets/218cd252-857c-4fc9-9410-d73fe49631e2)


Before:
![image](https://github.com/user-attachments/assets/a46e92f7-5a5c-4026-ad71-dca936104621)

After:
![image](https://github.com/user-attachments/assets/559c7820-6326-41d8-9b00-5073dcbcdacd)


closes:https://github.com/frappe/erpnext/issues/43713
Frappe Support Issue: https://support.frappe.io/app/hd-ticket/23836


backport version-15
backport version-14
<hr>This is an automatic backport of pull request #43726 done by [Mergify](https://mergify.com).",mergify[bot],2024-10-21 06:44:40+00:00,[],2024-11-05 00:11:11+00:00,2024-10-21 07:38:53+00:00,https://github.com/frappe/erpnext/pull/43742,"[('needs-tests', 'This PR needs automated unit-tests.')]",[],
2601515070,pull_request,closed,,"fix: ""show_remarks"" checkbox in Process statement of accounts (backport #43726)","![image](https://github.com/user-attachments/assets/218cd252-857c-4fc9-9410-d73fe49631e2)


Before:
![image](https://github.com/user-attachments/assets/a46e92f7-5a5c-4026-ad71-dca936104621)

After:
![image](https://github.com/user-attachments/assets/559c7820-6326-41d8-9b00-5073dcbcdacd)


closes:https://github.com/frappe/erpnext/issues/43713
Frappe Support Issue: https://support.frappe.io/app/hd-ticket/23836


backport version-15
backport version-14
<hr>This is an automatic backport of pull request #43726 done by [Mergify](https://mergify.com).",mergify[bot],2024-10-21 06:44:37+00:00,[],2024-11-07 00:11:21+00:00,2024-10-21 07:39:04+00:00,https://github.com/frappe/erpnext/pull/43741,"[('needs-tests', 'This PR needs automated unit-tests.'), ('released', None)]","[{'comment_id': 2425725077, 'issue_id': 2601515070, 'author': 'mergify[bot]', 'body': 'Cherry-pick of f4600df1f718440698aa98d460178f3e1f9ab430 has failed:\n```\nOn branch mergify/bp/version-14-hotfix/pr-43726\nYour branch is up to date with \'origin/version-14-hotfix\'.\n\nYou are currently cherry-picking commit f4600df1f7.\n  (fix conflicts and run ""git cherry-pick --continue"")\n  (use ""git cherry-pick --skip"" to skip this patch)\n  (use ""git cherry-pick --abort"" to cancel the cherry-pick operation)\n\nChanges to be committed:\n\tmodified:   erpnext/accounts/doctype/process_statement_of_accounts/process_statement_of_accounts.json\n\nUnmerged paths:\n  (use ""git add <file>..."" to mark resolution)\n\tboth modified:   erpnext/accounts/doctype/process_statement_of_accounts/process_statement_of_accounts.py\n\n```\n\n\nTo fix up this pull request, you can check it out locally. See documentation: https://docs.github.com/en/pull-requests/collaborating-with-pull-requests/reviewing-changes-in-pull-requests/checking-out-pull-requests-locally', 'created_at': datetime.datetime(2024, 10, 21, 6, 44, 39, tzinfo=datetime.timezone.utc)}, {'comment_id': 2430882947, 'issue_id': 2601515070, 'author': 'frappe-pr-bot', 'body': ':tada: This PR is included in version 14.74.7 :tada:\n\nThe release is available on [GitHub release](https://github.com/frappe/erpnext/releases/tag/v14.74.7)\n\nYour **[semantic-release](https://github.com/semantic-release/semantic-release)** bot :package::rocket:', 'created_at': datetime.datetime(2024, 10, 23, 4, 46, 22, tzinfo=datetime.timezone.utc)}]","mergify[bot] (Issue Creator) on (2024-10-21 06:44:39 UTC): Cherry-pick of f4600df1f718440698aa98d460178f3e1f9ab430 has failed:
```
On branch mergify/bp/version-14-hotfix/pr-43726
Your branch is up to date with 'origin/version-14-hotfix'.

You are currently cherry-picking commit f4600df1f7.
  (fix conflicts and run ""git cherry-pick --continue"")
  (use ""git cherry-pick --skip"" to skip this patch)
  (use ""git cherry-pick --abort"" to cancel the cherry-pick operation)

Changes to be committed:
	modified:   erpnext/accounts/doctype/process_statement_of_accounts/process_statement_of_accounts.json

Unmerged paths:
  (use ""git add <file>..."" to mark resolution)
	both modified:   erpnext/accounts/doctype/process_statement_of_accounts/process_statement_of_accounts.py

```


To fix up this pull request, you can check it out locally. See documentation: https://docs.github.com/en/pull-requests/collaborating-with-pull-requests/reviewing-changes-in-pull-requests/checking-out-pull-requests-locally

frappe-pr-bot on (2024-10-23 04:46:22 UTC): :tada: This PR is included in version 14.74.7 :tada:

The release is available on [GitHub release](https://github.com/frappe/erpnext/releases/tag/v14.74.7)

Your **[semantic-release](https://github.com/semantic-release/semantic-release)** bot :package::rocket:

"
2601405577,pull_request,closed,,fix: get party advance amount based on account (backport #43728),"**Issue:**
when the invoice is reconciled against the advance account using the payment reconciliation tool, Accounts Payable Summary shows the advance amount even after reconciliation
**ref:** [22015](https://support.frappe.io/helpdesk/tickets/22015)

**Before:**
[Accounts Payable Summary Issue](https://github.com/user-attachments/assets/2eeb530c-34cd-4c8b-84d7-da7b18ad1e8d)

**After:**
![image](https://github.com/user-attachments/assets/590be3f2-d6ed-4378-8180-42ca6e0af804)

**Backport needed: v15**<hr>This is an automatic backport of pull request #43728 done by [Mergify](https://mergify.com).",mergify[bot],2024-10-21 05:48:01+00:00,[],2024-11-05 00:11:20+00:00,2024-10-21 06:23:00+00:00,https://github.com/frappe/erpnext/pull/43740,"[('accounts', ''), ('needs-tests', 'This PR needs automated unit-tests.')]",[],
2601327150,pull_request,closed,,Update serial_no_warranty_expiry.json,"<!--

Some key notes before you open a PR:

 1. Select which branch should this PR be merged in?
 2. PR name follows [convention](http://karma-runner.github.io/4.0/dev/git-commit-msg.html)
 3. All tests pass locally, UI and Unit tests
 4. All business logic and validations must be on the server-side
 5. Update necessary Documentation
 6. Put `closes #XXXX` in your comment to auto-close the issue that your PR fixes


Also, if you're new here

- Documentation Guidelines => https://github.com/frappe/erpnext/wiki/Updating-Documentation

- Contribution Guide => https://github.com/frappe/erpnext/blob/develop/.github/CONTRIBUTING.md

- Pull Request Checklist => https://github.com/frappe/erpnext/wiki/Pull-Request-Checklist

-->

> Please provide enough information so that others can review your pull request:

<!-- You can skip this if you're fixing a typo or updating existing documentation -->

> Explain the **details** for making this change. What existing problem does the pull request solve?

<!-- Example: When ""Adding a function to do X"", explain why it is necessary to have a way to do X. -->

> Screenshots/GIFs

<!-- Add images/recordings to better visualize the change: expected/current behviour -->
",hyaray,2024-10-21 04:56:08+00:00,[],2024-11-26 00:11:52+00:00,2024-11-11 10:44:35+00:00,https://github.com/frappe/erpnext/pull/43739,"[('inactive', '')]","[{'comment_id': 2465994306, 'issue_id': 2601327150, 'author': 'stale[bot]', 'body': ""This pull request has been automatically marked as inactive because it has not had recent activity. It will be closed within 3 days if no further activity occurs, but it only takes a comment to keep a contribution alive :) Also, even if it is closed, you can always reopen the PR when you're ready. Thank you for contributing."", 'created_at': datetime.datetime(2024, 11, 9, 2, 18, 11, tzinfo=datetime.timezone.utc)}, {'comment_id': 2467848906, 'issue_id': 2601327150, 'author': 'rohitwaghchaure', 'body': '@hyaray please fix the commit message and reopen', 'created_at': datetime.datetime(2024, 11, 11, 10, 44, 35, tzinfo=datetime.timezone.utc)}]","stale[bot] on (2024-11-09 02:18:11 UTC): This pull request has been automatically marked as inactive because it has not had recent activity. It will be closed within 3 days if no further activity occurs, but it only takes a comment to keep a contribution alive :) Also, even if it is closed, you can always reopen the PR when you're ready. Thank you for contributing.

rohitwaghchaure on (2024-11-11 10:44:35 UTC): @hyaray please fix the commit message and reopen

"
2600235587,pull_request,closed,,chore: update POT file,,frappe-pr-bot,2024-10-20 09:35:26+00:00,[],2024-11-05 00:11:24+00:00,2024-10-20 12:33:33+00:00,https://github.com/frappe/erpnext/pull/43736,[],[],
2600175990,pull_request,closed,,feat: Add the chart of accounts for French NPOs,"The French chart of accounts for NPOs is a variation of the general chart. This adds the latest version of it: .2018-06.
Reference: https://www.associations.gouv.fr/le-nouveau-plan-comptable-depuis-le-1er-janvier-2020.html",ZeWaren,2024-10-20 08:23:15+00:00,[],2024-11-05 00:11:21+00:00,2024-10-21 05:51:31+00:00,https://github.com/frappe/erpnext/pull/43735,[],[],
2599363064,pull_request,closed,,fix: do not make new depreciation for fully depreciated asset (backport #43723),"This PR fixes an issue where depreciation for fully depreciated assets is incorrectly reposted when the asset is sold. Upon submitting the sales invoice, the system duplicated depreciation entries.

<img width=""825"" alt=""Screenshot 2024-10-18 at 4 54 56 PM"" src=""https://github.com/user-attachments/assets/fbd20bc5-a2b5-4741-a7dd-df0d28e2a893"">

`no-docs`<hr>This is an automatic backport of pull request #43723 done by [Mergify](https://mergify.com).",mergify[bot],2024-10-19 16:19:20+00:00,['khushi8112'],2024-11-05 00:11:23+00:00,2024-10-20 20:43:44+00:00,https://github.com/frappe/erpnext/pull/43733,"[('needs-tests', 'This PR needs automated unit-tests.')]",[],
